Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/9/17, 23:30:00, 5706.50, 5706.50, 5703.25, 5705.50, 1094, 888, 580, 514
2024/9/17, 23:45:00, 5705.25, 5705.25, 5702.25, 5703.00, 760, 601, 399, 361
2024/9/18, 00:00:00, 5703.00, 5705.00, 5702.00, 5704.50, 921, 699, 478, 443
2024/9/18, 00:15:00, 5704.50, 5706.25, 5703.50, 5705.25, 793, 629, 323, 470
2024/9/18, 00:30:00, 5705.25, 5705.25, 5702.50, 5703.25, 600, 532, 277, 323
2024/9/18, 00:45:00, 5703.25, 5703.75, 5701.25, 5703.00, 895, 748, 418, 477
2024/9/18, 01:00:00, 5702.75, 5703.75, 5702.00, 5703.50, 689, 542, 368, 321
2024/9/18, 01:15:00, 5703.25, 5704.50, 5702.25, 5704.00, 1367, 940, 689, 678
2024/9/18, 01:30:00, 5703.75, 5704.00, 5701.25, 5703.75, 1248, 934, 557, 691
2024/9/18, 01:45:00, 5703.50, 5706.00, 5703.50, 5705.50, 1041, 832, 352, 689
2024/9/18, 02:00:00, 5705.25, 5709.75, 5705.25, 5709.50, 1627, 1304, 613, 1014
2024/9/18, 02:15:00, 5709.50, 5711.00, 5709.25, 5709.50, 2304, 1387, 687, 1617
2024/9/18, 02:30:00, 5709.50, 5709.75, 5707.50, 5707.50, 754, 636, 449, 305
2024/9/18, 02:45:00, 5707.50, 5709.25, 5706.25, 5708.25, 1128, 937, 576, 552
2024/9/18, 03:00:00, 5708.50, 5710.25, 5708.25, 5709.25, 1676, 1465, 805, 871
2024/9/18, 03:15:00, 5709.00, 5709.00, 5703.75, 5704.50, 2073, 1673, 1061, 1012
2024/9/18, 03:30:00, 5704.75, 5705.50, 5701.75, 5703.00, 3306, 2197, 1892, 1414
2024/9/18, 03:45:00, 5703.00, 5705.75, 5702.50, 5702.50, 2954, 2016, 1403, 1551
2024/9/18, 04:00:00, 5702.50, 5703.25, 5698.75, 5699.50, 4354, 2950, 2598, 1756
2024/9/18, 04:15:00, 5699.25, 5702.75, 5698.25, 5699.50, 3391, 2267, 1981, 1410
2024/9/18, 04:30:00, 5699.50, 5701.75, 5698.75, 5700.75, 2239, 1695, 1274, 965
2024/9/18, 04:45:00, 5700.50, 5704.00, 5699.25, 5703.75, 1819, 1407, 862, 957
2024/9/18, 05:00:00, 5703.75, 5704.00, 5702.50, 5703.50, 1633, 1199, 808, 825
2024/9/18, 05:15:00, 5703.50, 5706.50, 5703.00, 5706.00, 1333, 944, 582, 751
2024/9/18, 05:30:00, 5706.25, 5707.25, 5705.75, 5706.75, 1461, 976, 663, 798
2024/9/18, 05:45:00, 5706.75, 5709.00, 5706.50, 5708.50, 1329, 885, 582, 747
2024/9/18, 06:00:00, 5708.75, 5709.00, 5706.75, 5706.75, 1198, 892, 723, 475
2024/9/18, 06:15:00, 5707.00, 5708.25, 5706.00, 5708.00, 1382, 1035, 690, 692
2024/9/18, 06:30:00, 5707.75, 5709.25, 5707.25, 5708.50, 1378, 963, 650, 728
2024/9/18, 06:45:00, 5708.50, 5708.75, 5707.50, 5708.25, 867, 665, 468, 399
2024/9/18, 07:00:00, 5708.00, 5708.75, 5706.75, 5708.50, 1799, 1272, 939, 860
2024/9/18, 07:15:00, 5708.50, 5710.00, 5706.75, 5708.00, 2547, 1482, 1059, 1488
2024/9/18, 07:30:00, 5708.25, 5709.25, 5704.75, 5705.00, 2119, 1468, 1178, 941
2024/9/18, 07:45:00, 5705.25, 5706.25, 5704.00, 5704.00, 2079, 1455, 1237, 842
2024/9/18, 08:00:00, 5704.25, 5704.50, 5699.00, 5699.75, 4416, 3114, 2371, 2045
2024/9/18, 08:15:00, 5699.75, 5705.50, 5699.00, 5705.25, 3822, 2692, 1614, 2208
2024/9/18, 08:30:00, 5705.25, 5711.50, 5705.00, 5710.50, 8851, 4929, 4308, 4543
2024/9/18, 08:45:00, 5710.75, 5710.75, 5707.00, 5709.25, 4670, 2995, 2354, 2316
2024/9/18, 09:00:00, 5709.00, 5710.00, 5706.75, 5709.50, 5186, 3584, 2569, 2617
2024/9/18, 09:15:00, 5709.50, 5709.75, 5705.50, 5707.50, 10292, 6784, 5555, 4737
2024/9/18, 09:30:00, 5707.25, 5709.25, 5696.25, 5702.75, 58229, 40606, 28846, 29383
2024/9/18, 09:45:00, 5702.75, 5703.50, 5694.75, 5699.50, 36052, 24743, 18646, 17406
2024/9/18, 10:00:00, 5699.25, 5702.25, 5690.75, 5697.50, 40542, 28332, 21458, 19084
2024/9/18, 10:15:00, 5697.50, 5701.25, 5692.50, 5700.50, 35362, 24742, 17957, 17405
2024/9/18, 10:30:00, 5700.50, 5702.75, 5693.50, 5701.00, 28066, 19834, 13826, 14240
2024/9/18, 10:45:00, 5700.75, 5702.75, 5695.75, 5697.25, 21363, 14558, 10749, 10614
2024/9/18, 11:00:00, 5697.25, 5701.00, 5694.00, 5696.25, 18058, 13103, 9371, 8687
2024/9/18, 11:15:00, 5696.25, 5697.75, 5691.50, 5696.50, 18975, 13434, 10313, 8662
2024/9/18, 11:30:00, 5696.75, 5696.75, 5689.50, 5690.00, 27432, 16229, 15228, 12204
2024/9/18, 11:45:00, 5690.00, 5690.50, 5684.25, 5685.25, 29563, 18315, 15833, 13730
2024/9/18, 12:00:00, 5685.25, 5692.50, 5682.25, 5692.25, 25339, 16266, 12258, 13081
2024/9/18, 12:15:00, 5692.25, 5700.00, 5691.50, 5699.00, 16838, 11514, 8047, 8791
2024/9/18, 12:30:00, 5699.25, 5700.75, 5697.00, 5699.25, 14808, 10137, 7117, 7691
2024/9/18, 12:45:00, 5699.50, 5706.00, 5698.75, 5705.00, 16024, 11080, 7384, 8640
2024/9/18, 13:00:00, 5705.25, 5706.00, 5703.00, 5704.75, 15504, 10086, 7678, 7826
2024/9/18, 13:15:00, 5704.75, 5706.50, 5698.75, 5706.25, 17506, 11521, 8693, 8813
2024/9/18, 13:30:00, 5706.00, 5712.00, 5700.75, 5705.00, 26448, 16684, 12943, 13505
2024/9/18, 13:45:00, 5705.00, 5706.75, 5697.00, 5700.50, 23257, 15270, 10413, 12844
2024/9/18, 14:00:00, 5700.25, 5755.75, 5685.00, 5709.50, 155675, 126274, 75127, 80548
2024/9/18, 14:15:00, 5709.50, 5732.25, 5709.50, 5727.50, 71849, 60262, 35317, 36532
2024/9/18, 14:30:00, 5727.50, 5738.50, 5702.50, 5705.50, 106268, 84861, 50201, 56067
2024/9/18, 14:45:00, 5705.50, 5728.75, 5701.50, 5705.75, 80993, 66541, 37771, 43222
2024/9/18, 15:00:00, 5705.75, 5716.00, 5683.75, 5713.25, 115105, 95886, 58651, 56454
2024/9/18, 15:15:00, 5713.25, 5726.75, 5685.25, 5717.00, 82815, 69739, 41413, 41402
2024/9/18, 15:30:00, 5717.25, 5723.25, 5684.50, 5685.00, 80388, 69234, 41132, 39256
2024/9/18, 15:45:00, 5685.25, 5692.00, 5675.25, 5680.75, 117138, 84910, 58690, 58448
